面積_平方英尺,房間數,樓層數,屋齡_年,房價_千美元
952,2,1,65,271.5
1244,3,1,64,300.0
1947,3,2,17,509.8
1725,3,2,42,394.0
1959,3,2,15,540.0
1314,2,1,14,415.0
864,2,1,66,230.0
1836,3,1,17,560.0
1026,3,1,43,294.0
3194,4,2,87,718.2
788,2,1,80,200.0
1200,2,2,17,302.0
1557,2,1,18,468.0
1430,3,1,20,374.2
1220,2,1,15,388.0
1092,2,1,64,282.0
848,1,1,17,311.8
1682,3,2,23,401.0
1768,3,2,18,449.8
1040,3,1,44,301.0
1652,2,1,21,502.0
1088,2,1,35,340.0
1316,3,1,14,400.282
1593,0,1,20,572.0
972,2,1,73,264.0
1097,3,1,37,304.0
1004,2,1,51,298.0
904,3,1,55,219.8
1694,3,1,13,490.7
1073,2,1,100,216.96
1419,3,2,19,368.2
1164,3,1,52,280.0
1935,3,2,12,526.87
1216,2,2,74,237.0
2482,4,2,16,562.426
1200,2,1,18,369.8
1840,3,2,20,460.0
1851,3,2,57,374.0
1660,3,2,19,390.0
1096,2,2,97,158.0
1775,3,2,28,426.0
2030,4,2,45,390.0
1784,4,2,107,277.774
1073,2,1,100,216.96
1552,3,1,16,425.8
1953,3,2,16,504.0
1224,2,2,12,329.0
1616,3,1,16,464.0
816,2,1,58,220.0
1349,3,1,21,358.0
1571,3,1,14,478.0
1486,3,1,57,334.0
1506,2,1,16,426.98
1097,3,1,27,290.0
1764,3,2,24,463.0
1208,2,1,14,390.8
1470,3,2,24,354.0
1768,3,2,84,350.0
1654,3,1,19,460.0
1029,3,1,60,237.0
1120,2,2,16,288.304
1150,3,1,62,282.0
816,2,1,39,249.0
1040,3,1,25,304.0
1392,3,1,64,332.0
1603,3,2,29,351.8
1215,3,1,63,310.0
1073,2,1,100,216.96
2599,4,2,22,666.336
1431,3,1,59,330.0
2090,3,2,26,480.0
1790,4,2,49,330.3
1484,3,2,16,348.0
1040,3,1,25,304.0
1431,3,1,22,384.0
1159,3,1,53,316.0
1547,3,2,12,430.4
1983,3,2,22,450.0
1056,3,1,53,284.0
1180,2,1,99,275.0
1358,2,1,17,414.0
960,3,1,51,258.0
1456,3,2,16,378.0
1446,3,2,25,350.0
1208,2,1,15,412.0
1553,3,2,16,373.0
882,3,1,49,225.0
2030,4,2,45,390.0
1040,3,1,62,267.4
1616,3,1,16,464.0
803,2,1,80,174.0
1430,3,2,21,340.0
1656,3,1,61,430.0
1541,3,1,16,440.0
948,3,1,53,216.0
1224,2,2,12,329.0
1432,2,1,43,388.0
1660,3,2,19,390.0
1212,3,1,20,356.0
1050,2,1,65,257.8
